ITINERARI,SECCIO,LENGTH,SOURCETHM,X_MID,Y_MID,X_BEG,Y_BEG,Y_END,X_END,BUFF_DIST,ORIG_FID,_count,_sum,_mean
"13","5",739.27081019300,Itineraris.shp,455734.67244200001,4608399.27764999960,455470.63640000002,4608211.03799999971,4608530.65539999958,456046.37089999998,500.00000000000,"70",14875.000000000000000,108929.525928646326065,7.322993339740930
"13","6",803.28199189400,Itineraris.shp,456279.89331900002,4608850.20880999975,456046.37089999998,4608530.65539999958,4608894.72279999964,456545.90519999998,500.00000000000,"71",15031.000000000000000,94379.638142794370651,6.278999277679088
"14","1",487.03932260800,Itineraris.shp,436828.87959899998,4643923.83925000019,436999.09860000003,4643749.72840000037,4643925.41210000031,436590.58110000001,500.00000000000,"72",12642.000000000000000,17108.192984990775585,1.353282153535103
"14","2",517.23314141500,Itineraris.shp,436368.82033800002,4644008.78342999984,436590.58110000001,4643925.41210000031,4644007.96229999978,436304.83049999998,500.00000000000,"73",11723.000000000000000,26807.022143045440316,2.286703245162965
"14","3",481.53478731100,Itineraris.shp,436135.47686900001,4644097.31484000012,436313.29719999997,4644031.24569999985,4644137.07919999957,435923.82980000001,500.00000000000,"74",12228.000000000000000,35491.553908646106720,2.902482328152282
"14","4",386.06102468700,Itineraris.shp,435753.11653800000,4644227.17781999987,435923.82980000001,4644137.07919999957,4644253.49610000011,435572.46240000002,500.00000000000,"75",11643.000000000000000,41025.863023132085800,3.523650521612307
"14","5",536.27319562900,Itineraris.shp,435451.27015699999,4644250.66299999971,435572.46240000002,4644253.49610000011,4644287.36280000024,435333.27860000002,500.00000000000,"76",11031.000000000000000,40469.073910176753998,3.668667746367215
"14","6",528.72479949600,Itineraris.shp,435149.70240399998,4644312.95375999995,435333.27860000002,4644287.36280000024,4644369.91299999971,434992.49459999998,500.00000000000,"77",11795.000000000000000,55808.229126751422882,4.731515822530854
"15","1",317.28328561600,Itineraris.shp,415516.07049800002,4584141.24074999988,415425.57640000002,4584011.80819999985,4584280.62540000025,415582.21000000002,500.00000000000,"78",11002.000000000000000,49030.874373061582446,4.456541935380984
"15","2",725.28631585800,Itineraris.shp,415267.32765900000,4584431.21502000000,415582.21000000002,4584280.62540000025,4584560.02589999977,414945.09210000001,500.00000000000,"79",14964.000000000000000,55572.990731028839946,3.713779118619944
"15","3",733.51369837000,Itineraris.shp,414684.96314900002,4584770.83765999973,414957.79210000002,4584553.67590000015,4584896.57660000026,414405.34100000001,500.00000000000,"80",14848.000000000000000,71723.613100692629814,4.830523511630700
"15","4",704.53339423600,Itineraris.shp,414155.60901299998,4585018.87653000001,414415.92440000002,4584883.87660000008,4585030.98520000000,413893.10670000000,500.00000000000,"81",13838.000000000000000,79599.175199493765831,5.752216736486036
"15","5",579.23345385100,Itineraris.shp,413728.62727100000,4585247.32672999986,413903.69000000000,4585028.86849999987,4585268.05229999963,413465.53909999999,500.00000000000,"82",13440.000000000000000,89562.908209100351087,6.663906860796158
"15","6",724.40538248200,Itineraris.shp,413128.41670399997,4585364.58970000036,413465.53909999999,4585268.05229999963,4585418.33600000013,412779.73780000000,500.00000000000,"83",15038.000000000000000,133438.209905385971069,8.873401376870993
"17","1",578.19072663100,Itineraris.shp,469056.67008100002,4633717.69254999980,469310.98859999998,4633691.06329999957,4633519.61299999990,469031.58799999999,500.00000000000,"84",12124.000000000000000,106051.571275413021795,8.747242764385769
"17","2",430.78989109900,Itineraris.shp,468880.61478100001,4633479.74034999963,469031.58799999999,4633519.61299999990,4633354.51269999985,468707.73739999998,500.00000000000,"85",11882.000000000000000,94527.371647536754608,7.955510153807166
"17","3",579.92982143500,Itineraris.shp,468670.58875499998,4633171.27393999975,468707.73739999998,4633354.51269999985,4633248.67910000030,468455.85359999997,500.00000000000,"86",11883.000000000000000,88906.421548426151276,7.481816170026606
"17","4",542.60823168400,Itineraris.shp,468286.59180599998,4633313.56912000012,468474.90360000002,4633265.61249999981,4633132.26219999976,468157.40299999999,500.00000000000,"87",12263.000000000000000,97328.346823573112488,7.936748497396486
"17","5",500.92368024700,Itineraris.shp,468007.98854599998,4632960.88750000019,468157.40299999999,4633130.14560000040,4633039.12870000023,467799.68560000003,500.00000000000,"88",12338.000000000000000,98643.915359616279602,7.995130115060486
"17","6",435.29357870700,Itineraris.shp,467601.34698099998,4632992.00765999965,467799.68560000003,4633039.12870000023,4633039.12870000023,467405.98479999998,500.00000000000,"89",12045.000000000000000,98548.398804306983948,8.181685247348026
"18","1",591.72659841300,Itineraris.shp,351615.15567900002,4620488.94536999986,351404.55579999997,4620284.41019999981,4620557.46079999954,351870.22340000002,500.00000000000,"90",13609.000000000000000,13619.317111589016349,1.000758109456170
"18","2",503.39849461200,Itineraris.shp,352075.16878299997,4620701.02273000032,351870.22340000002,4620557.46079999954,4620872.84480000008,352253.34080000001,500.00000000000,"91",12865.000000000000000,14162.337586907669902,1.100842408620884
"18","3",443.32477713100,Itineraris.shp,352418.52377500001,4621017.30845000036,352253.34080000001,4620872.84480000008,4621192.46210000012,352551.79139999999,500.00000000000,"92",12286.000000000000000,16895.727914633229375,1.375201686035588
"18","4",479.13918680300,Itineraris.shp,352685.55130900000,4621377.52737000026,352551.79139999999,4621192.46210000012,4621566.05449999962,352831.19199999998,500.00000000000,"93",12594.000000000000000,17218.697221324779093,1.367214325974653
"18","5",537.68628905300,Itineraris.shp,352977.82329500001,4621791.31603000034,352831.19199999998,4621566.05449999962,4621955.52190000005,353178.32600000000,500.00000000000,"94",13209.000000000000000,15916.763453572057188,1.204993826449546
"18","6",653.92109671300,Itineraris.shp,353419.11842000001,4622169.05169000011,353178.32600000000,4621955.52190000005,4622220.10580000002,353739.24380000000,500.00000000000,"95",14359.000000000000000,13327.983225240895990,0.928197174262894
