"","Id","nom","IA","ORSO","suivi_sais","LENGTH"
"117","0","Salode",NA,NA,NA,8.41836
"118","0","Gar",NA,NA,NA,6.17631
"119","0","Col des Cassaings",NA,NA,NA,9.43648
"120","0","Bourg Oueil",NA,NA,NA,7.07391
"121","0","Aube Ourtiga",NA,NA,NA,6.2535
"122","0","Vallee du Lys",NA,NA,NA,7.12161
"123","0","Bareille",NA,NA,NA,7.52037
"124","0","Formiguere",NA,NA,NA,5.46706
"125","0","Orlu",NA,NA,NA,6.46249
"126","0","Mijanes1",NA,NA,NA,1.17566
"127","0","Majanes2",NA,NA,NA,3.43308
"128","0",NA,NA,NA,NA,1.7261
"129","0",NA,NA,NA,NA,2.25102
"130","0",NA,NA,NA,NA,3.87528
"131","0","Bern",NA,NA,NA,0.65123
"132","0",NA,NA,NA,NA,5.98501
"133","0",NA,NA,NA,NA,5.88493
"134","0","Larry2014","oui","oui","oui",9992.21183
"135","0","Bouren2014","oui","oui","oui",8563.37307
"136","0","Er_Gazies2014","oui","oui","oui",9614.61815
"137","0","RiouLisey2014",NA,NA,NA,11889.82989
"138","0","Ilheou2014",NA,NA,NA,6536.32199
"139","0","Arrioutort2014",NA,NA,NA,8985.63861
"140","0","Bachebirou2014new",NA,NA,NA,7052.50375
"141","0","Bouleste2014",NA,NA,NA,6675.59844
"142","0","Soussoueou2014",NA,NA,NA,11424.3086
"143","0","Tuquet2014",NA,NA,NA,8290.31308
"144","0","Bue2015v2",NA,NA,NA,3346.65853
"145","0","Auéran2014",NA,NA,NA,10.54696
"146","0","Pouill2014",NA,NA,NA,6.20977
"147","0","Aulus2014",NA,NA,NA,9.99058
"148","0","Trapech2014",NA,NA,NA,7.62053
"149","0","Joubac2014",NA,NA,NA,8.22115
"150","0","Fos2014",NA,NA,NA,8.22768
"151","0","Couledoux2014",NA,NA,NA,9.741
"152","0","ChapelleIsard2014",NA,NA,NA,15.19202
"153","0","Nede2014",NA,NA,NA,6.21424
"154","0","Bethmale2014",NA,NA,NA,4.85342
"155","0","Cazabedes2014",NA,NA,NA,9.82858
"156","0","Estours-Pause2014",NA,NA,NA,11.32106
"157","0","Rouze2014",NA,NA,NA,5.93897
"158","0","Besset2014",NA,NA,NA,9.12089
"159","0","Tremuls2014",NA,NA,NA,2.65691
"160","0","Aillos2014",NA,NA,NA,9.75649
"161","0","AuzatArtigue2014",NA,NA,NA,6.9744
"162","0","Ossese2014",NA,NA,NA,6.17377
"163","0","Cagateille",NA,NA,NA,2.63189
"164","0","Saleix",NA,NA,NA,8.80422
"165","0","Esbas",NA,NA,NA,5.45233
"166","0","Rioumajou",NA,NA,NA,6.99335
"167","0","Escalère",NA,NA,NA,3.91198
"168","0","Salode",NA,NA,NA,8.41836
"169","0","Gar",NA,NA,NA,6.17631
"170","0","Col des Cassaings",NA,NA,NA,9.43648
"171","0","Bourg Oueil",NA,NA,NA,7.07391
"172","0","Aube Ourtiga",NA,NA,NA,6.2535
"173","0","Vallee du Lys",NA,NA,NA,7.12161
"174","0","Bareille",NA,NA,NA,7.52037
"175","0","Formiguere",NA,NA,NA,5.46706
"176","0","Orlu",NA,NA,NA,6.46249
"177","0","Mijanes1",NA,NA,NA,1.17566
"178","0","Majanes2",NA,NA,NA,3.43308
"179","0",NA,NA,NA,NA,1.7261
"180","0",NA,NA,NA,NA,2.25102
"181","0",NA,NA,NA,NA,3.87528
"182","0","Bern",NA,NA,NA,0.65123
"183","0",NA,NA,NA,NA,5.98501
"184","0",NA,NA,NA,NA,5.88493
"185","0","Larry2014","oui","oui","oui",9992.21183
